Date,Open,High,Low,Close,Adj Close,Volume
2007-12-04,142.800003,143.669998,142.800003,143.669998,52.615807,633
2007-12-05,143.699997,143.699997,143.699997,143.699997,52.626774,2000
2007-12-06,143.220001,143.339996,143.220001,143.339996,52.494946,1033
2007-12-07,143.399994,143.429993,143.399994,143.429993,52.527901,4267
2007-12-10,143.759995,144.119995,143.759995,144.119995,52.780586,2567
2007-12-11,144.690002,144.690002,144.000000,144.000000,52.736652,2133
2007-12-12,144.270004,144.389999,143.639999,143.639999,52.604824,3500
2007-12-13,144.059998,144.059998,143.669998,143.669998,52.615807,1967
2007-12-14,144.149994,144.149994,143.669998,143.669998,52.615807,1000
2007-12-17,144.210007,144.210007,143.639999,143.789993,52.659763,300
2007-12-18,144.360001,144.360001,144.179993,144.179993,52.802570,67
2007-12-19,143.580002,144.089996,143.580002,144.089996,52.769638,333
2007-12-20,144.419998,144.419998,143.880005,144.029999,52.747635,600
2007-12-21,144.330002,144.330002,143.789993,143.789993,52.659763,500
2007-12-24,143.880005,143.880005,143.610001,143.610001,52.593803,1467
2007-12-26,143.699997,143.699997,143.369995,143.550003,52.571850,733
2007-12-27,143.550003,143.550003,143.550003,143.550003,52.571850,0
2007-12-28,143.759995,143.759995,143.039993,143.669998,53.005711,2400
2007-12-31,143.940002,143.940002,143.399994,143.610001,52.983559,1267
2008-01-02,143.940002,143.970001,143.910004,143.910004,53.094292,767
2008-01-03,144.059998,144.059998,142.649994,142.649994,52.629383,1433
2008-01-04,143.190002,143.190002,140.490005,141.300003,52.131329,6700
2008-01-07,142.410004,142.410004,141.240005,142.110001,52.430187,1133
2008-01-08,142.800003,142.800003,141.000000,142.470001,52.563000,1433
2008-01-09,141.690002,142.589996,141.089996,141.089996,52.053867,1400
2008-01-10,141.300003,141.300003,138.000000,140.309998,51.766098,12700
2008-01-11,140.550003,140.729996,138.779999,139.740005,51.555828,1667
2008-01-14,140.580002,140.580002,139.679993,139.800003,51.577950,567
2008-01-15,139.440002,139.440002,139.139999,139.139999,51.334435,467
2008-01-16,140.369995,140.369995,139.889999,139.889999,51.611130,1767
2008-01-17,138.869995,138.869995,136.800003,137.699997,50.803154,1133
2008-01-18,138.539993,138.539993,137.789993,137.789993,50.836372,600
2008-01-22,138.000000,138.000000,136.470001,137.970001,50.902760,2600
2008-01-23,137.910004,138.029999,136.559998,137.940002,50.891701,1400
2008-01-24,137.970001,138.449997,137.639999,137.639999,50.781025,1533
2008-01-25,138.929993,138.929993,132.929993,136.110001,50.216537,8533
2008-01-28,137.130005,137.250000,136.199997,137.220001,50.626076,13067
2008-01-29,137.550003,137.699997,136.919998,137.399994,50.692486,23200
2008-01-30,139.199997,141.000000,139.020004,139.800003,51.577950,489567
2008-01-31,139.500000,140.399994,138.750000,140.250000,51.743938,12500
2008-02-01,140.729996,143.880005,140.070007,140.070007,52.013519,24100
2008-02-04,140.940002,140.940002,137.850006,138.000000,51.244892,13733
2008-02-05,137.940002,137.970001,136.800003,137.610001,51.100067,8000
2008-02-06,138.570007,138.570007,136.500000,137.250000,50.966377,7167
2008-02-07,135.750000,136.949997,135.750000,136.320007,50.621014,43400
2008-02-08,136.410004,136.410004,135.839996,136.139999,50.554218,16033
2008-02-11,135.570007,135.690002,135.479996,135.690002,50.387093,5400
2008-02-12,135.270004,136.050003,135.149994,136.050003,50.520790,4533
2008-02-13,135.179993,136.199997,135.179993,135.899994,50.465046,6900
2008-02-14,137.369995,137.369995,135.029999,136.050003,50.520790,7300
2008-02-15,135.179993,135.449997,134.699997,135.449997,50.297955,16967
2008-02-19,136.500000,136.500000,135.000000,136.110001,50.543056,21967
2008-02-20,136.169998,136.169998,135.330002,135.899994,50.465046,8600
2008-02-21,135.240005,135.899994,135.149994,135.479996,50.309101,4833
2008-02-22,135.449997,135.570007,135.240005,135.570007,50.342537,472800
2008-02-25,135.270004,136.199997,134.100006,135.300003,50.242241,20733
2008-02-26,136.440002,136.440002,135.000000,135.570007,50.342537,7967
2008-02-27,136.320007,136.320007,134.970001,135.149994,50.186558,8900
2008-02-28,135.000000,135.449997,134.639999,135.119995,50.175415,15667
2008-02-29,134.880005,136.470001,133.199997,134.550003,49.963764,11900
2008-03-03,136.320007,138.720001,133.440002,134.369995,50.240818,25567
2008-03-04,135.089996,135.179993,133.199997,133.949997,50.083805,9600
2008-03-05,134.850006,134.850006,132.750000,134.130005,50.151047,7033
2008-03-06,134.039993,134.100006,133.500000,134.070007,50.128643,7767
2008-03-07,133.350006,133.770004,133.350006,133.679993,49.982830,6933
2008-03-10,134.070007,134.070007,132.960007,133.350006,49.859459,11500
2008-03-11,133.350006,133.770004,133.289993,133.500000,49.915497,12867
2008-03-12,133.500000,133.500000,132.750000,132.899994,49.691174,8967
2008-03-13,132.570007,132.570007,131.490005,132.000000,49.354664,4800
2008-03-14,132.000000,132.270004,128.970001,130.770004,48.894798,5167
2008-03-17,131.039993,131.039993,129.690002,130.199997,48.681671,22633
2008-03-18,130.050003,131.970001,130.050003,131.250000,49.074223,9767
2008-03-19,133.619995,133.619995,130.949997,130.949997,48.962086,21867
2008-03-20,131.429993,131.820007,131.100006,131.820007,49.287365,7800
2008-03-24,132.570007,132.960007,132.389999,132.779999,49.646324,13400
2008-03-25,133.169998,133.500000,132.690002,133.440002,49.893070,43233
2008-03-26,133.889999,135.089996,133.470001,133.559998,49.937973,16233
2008-03-27,133.500000,134.039993,133.229996,133.410004,49.881882,67267
2008-03-28,133.770004,134.460007,133.649994,134.250000,50.195942,17833
2008-03-31,134.070007,134.399994,133.559998,134.250000,50.195942,26233
2008-04-01,134.070007,134.100006,132.809998,133.440002,50.301083,26767
2008-04-02,133.350006,133.350006,132.300003,132.869995,50.086277,19800
2008-04-03,132.750000,133.380005,132.750000,133.320007,50.255890,20100
2008-04-04,133.500000,134.070007,133.350006,134.070007,50.538589,35100
2008-04-07,134.550003,134.550003,134.130005,134.369995,50.651672,12167
2008-04-08,136.320007,136.320007,134.729996,135.240005,50.979610,16667
2008-04-09,135.029999,135.240005,133.500000,134.970001,50.877823,24700
2008-04-10,134.910004,135.570007,133.199997,135.509995,51.081409,53400
2008-04-11,136.139999,136.139999,134.100006,134.789993,50.809971,44433
2008-04-14,134.850006,134.880005,134.520004,134.850006,50.832611,39367
2008-04-15,135.539993,135.539993,134.250000,134.940002,50.866562,10800
2008-04-16,135.300003,135.389999,134.699997,135.270004,50.990955,8267
